id,method,factors,nobs,ncat,bias_withC_L_SE6,bias_withC_L_SEa,bias_withC_L_SE7,bias_withC_T_SEi6,bias_withC_T_SEi7,bias_withC_C_SE1
1917,PML,2,400,2,-0.3197638503727618,-0.1404926085558894,-0.47674074183392673,0.4260594818725552,0.44685162598364636,0.4595871407078664
1918,PML,2,400,2,-0.08096842739675203,0.24671792096211953,1.0208318618965233,0.42817589981133525,0.4438892471532868,0.7360293058921857
1919,PML,2,400,2,0.15572759075727846,-0.15415861315906942,-0.10882130990326686,0.4274663513959248,0.4469170801932057,-0.19998293649135385
1920,PML,2,400,2,-0.15400556017432163,-0.1534274056488899,-0.006581624101197059,0.42377127036366535,0.4476410164594366,-0.34302834964050344
1921,PML,2,400,2,-0.7128956160101424,-0.4381394522088605,0.1509499871069131,0.4240431417838253,0.4466759808728668,0.10681189067618668
1922,PML,2,400,2,0.679069729872988,0.61509632904308,0.676840730548063,0.4261909637878744,0.44824198125175685,0.3177793171331156
1923,PML,2,400,2,0.07788256407992786,0.06837939155445033,-0.045578439689866745,0.4241697485097354,0.4426484367543365,0.14575542145188608
1924,PML,2,400,2,-0.3360493654157519,-0.2895564341414303,-0.13423793219224656,0.42683853161387536,0.4443331476564061,0.3692441941983163
1925,PML,2,400,2,-0.514094198595072,-0.5213962389853,0.274360378523953,0.42754523364793434,0.4487968582595356,0.7935515660431658
1926,PML,2,400,2,-0.42074490625135175,-0.2579965476882301,0.8372758142985832,0.4271098511602553,0.44883984418880585,-0.12940472370299438
1927,PML,2,400,2,-0.1848813390857719,0.30610314850522957,0.24995741003811314,0.4152412422510951,0.44929274636230643,-0.2341596017918543
1928,PML,2,400,2,-0.40170122437074157,-0.5763576661168002,-0.5491549215230568,0.42691693275591497,0.4409807703071769,0.023027501949406115
1929,PML,2,400,2,0.4810569773963679,0.15573482006842054,0.18782537651665307,0.4281408030751152,0.4502916452534256,0.09632120547389544
1930,PML,2,400,2,-0.7768789454131814,-0.47227414982145,0.17899379934946322,0.42771388137512467,0.4502136195553563,0.4854481999966659
1931,PML,2,400,2,-0.988700073643102,-0.06238936890614055,-0.059016674600456676,0.42342478911897435,0.4331668595596458,-0.34453636047827446
1932,PML,2,400,2,0.13333887899591793,-0.23799031717094965,0.6634735634039435,0.42769720953604456,0.4451967442110863,-0.3155970597088137
1933,PML,2,400,2,-0.6314659172030723,-0.4714864697398402,0.16859715401812345,0.41900625390984547,0.44306677109286624,0.014322315705926625
1934,PML,2,400,2,-0.08511234320651151,0.15055807329095033,-0.43078608170145705,0.42134590804184524,0.4456793543990256,-0.20226307276930422
1935,PML,2,400,2,-0.43040892803401165,-0.6935524134981899,0.0294207217366331,0.4278632030227547,0.448633602729856,0.1964559115889955
1936,PML,2,400,2,-7.298267245200996e-5,-0.21064976308050043,-0.23062364340875677,0.4226089540733252,0.44817235834857666,0.07006901124212567
1937,PML,2,400,2,-0.3740582008663215,-0.07226588446773985,-0.39901756824091694,0.4203911080412251,0.4346460974593763,-0.44529698549106433
1938,PML,2,400,2,0.5183278290919981,0.3637334451558699,-0.14986461218540678,0.42780248730738546,0.43973086153360624,0.14693795413555644
1939,PML,2,400,2,-0.5952517438355814,-0.42813909360029934,-0.43572093973972686,0.41830099888462424,0.4507029666090262,0.389338966279526
1940,PML,2,400,2,0.10858603240963827,0.31577860846363076,0.14478622179882328,0.41779129455027514,0.44613989189596637,0.26858650743080553
1941,PML,2,400,2,0.20608120994333803,0.5031888822809902,-0.10456009319742693,0.42316987933687517,0.4481007438221857,-0.11979151812354372
1942,PML,2,400,2,0.1481075671637279,-0.048390540995810194,0.33352585272044333,0.4257718507616942,0.43302928919322636,-0.14007976764854463
1943,PML,2,400,2,-0.34361634278240183,-0.2953627375011397,-0.15653523929476665,0.4282652880437651,0.4403546201312558,0.8298687312394658
1944,PML,2,400,2,-0.552290402155202,-0.41202805342649,-0.44301630802575653,0.42727228228005426,0.4420093553511459,0.6194970882278057
1945,PML,2,400,2,0.8865395948561484,0.5046031296613296,-0.47029476657862657,0.42330918026647485,0.44666882641166555,0.2218728417393956
1946,PML,2,400,2,-0.14375320043660197,-0.12770209877575045,-0.3561946776168272,0.42762225841303514,0.44153009505627644,-0.2616450300629333
1947,PML,2,400,2,-0.26500187678414194,0.050995410114450246,-0.9586902080987065,0.42318691923264457,0.44848345188871624,0.04115772106860621
1948,PML,2,400,2,-0.8632729489896018,-0.37270273399283016,0.23492781979164296,0.4213666040163447,0.44861120075804645,-0.06217623794876337
1949,PML,2,400,2,-0.19054752103741177,-0.5289125208363401,-0.26398254951177713,0.42666742256495527,0.44533936100839555,-0.32122134545822384
1950,PML,2,400,2,-0.006152450040192159,0.5153311168900097,0.6516153247663032,0.4101023571778148,0.4484760544553462,-0.3083250849083938
1951,PML,2,400,2,-0.284243537027732,0.3732964843392403,0.19036570671958283,0.4193652262993952,0.4494505361088058,-0.29420341332529465
1952,PML,2,400,2,-0.010075111871601927,0.3834528555080305,0.3050850204015035,0.4203995814797454,0.44217833658243555,-0.18521531928655383
1953,PML,2,400,2,-1.3235013952039214,0.045627365223070704,-0.33241338116114655,0.4250317075103746,0.4398349869048357,-0.25228079350359395
1954,PML,2,400,2,-0.4744371792524321,-0.28084899494351945,0.09560600015404291,0.42652985516898473,0.4397912440626456,0.6763561692764659
1955,PML,2,400,2,0.3696079144073279,0.07173494316671941,0.35510402871611335,0.4276718635134555,0.44839000805364654,0.4295278714770964
1956,PML,2,400,2,0.4248684496519779,-0.07032603945152927,0.6044320868088031,0.4275999332597549,0.44827340653522674,-0.18633009486665464
1957,PML,2,400,2,-0.6040535439163122,-0.22873641046961962,-0.5821629609315766,0.42770190298714456,0.43142598494190637,0.057815756173355826
1958,PML,2,400,2,-0.06212032978156201,0.3436420246320307,0.7245851482823834,0.42853768864178493,0.4480799120614956,0.11023064850064629
